time,"I(LIP|XI3|XN_05_)"
7.260000e-11,-2.511034e-07
7.280000e-11,-2.504947e-07
7.300000e-11,-2.500512e-07
7.320000e-11,-2.498143e-07
7.340000e-11,-2.498014e-07
7.360000e-11,-2.500058e-07
7.380000e-11,-2.503973e-07
7.400000e-11,-2.509272e-07
7.420000e-11,-2.515340e-07
7.440000e-11,-2.521503e-07
7.460000e-11,-2.527104e-07
7.480000e-11,-2.531576e-07
7.500000e-11,-2.534492e-07
7.520000e-11,-2.535610e-07
7.540000e-11,-2.534890e-07
7.560000e-11,-2.532486e-07
7.580000e-11,-2.528726e-07
7.600000e-11,-2.524064e-07
7.620000e-11,-2.519029e-07
7.640000e-11,-2.514166e-07
7.660000e-11,-2.509974e-07
7.680000e-11,-2.506860e-07
7.700000e-11,-2.505095e-07
7.720000e-11,-2.504800e-07
7.740000e-11,-2.505933e-07
7.760000e-11,-2.508307e-07
7.780000e-11,-2.511615e-07
7.800000e-11,-2.515469e-07
7.820000e-11,-2.519445e-07
7.840000e-11,-2.523129e-07
7.860000e-11,-2.526158e-07
7.880000e-11,-2.528257e-07
7.900000e-11,-2.529260e-07
7.920000e-11,-2.529124e-07
7.940000e-11,-2.527923e-07
7.960000e-11,-2.525836e-07
7.980000e-11,-2.523122e-07
8.000000e-11,-2.520086e-07
8.020000e-11,-2.517051e-07
8.040000e-11,-2.514320e-07
8.060000e-11,-2.512149e-07
8.080000e-11,-2.510722e-07
8.100000e-11,-2.510138e-07
8.120000e-11,-2.510409e-07
8.140000e-11,-2.511461e-07
8.160000e-11,-2.513147e-07
8.180000e-11,-2.515268e-07
8.200000e-11,-2.517594e-07
8.220000e-11,-2.519887e-07
8.240000e-11,-2.521929e-07
8.260000e-11,-2.523538e-07
8.280000e-11,-2.524581e-07
8.300000e-11,-2.524991e-07
8.320000e-11,-2.524761e-07
8.340000e-11,-2.523947e-07
8.360000e-11,-2.522655e-07
8.380000e-11,-2.521032e-07
8.400000e-11,-2.519246e-07
8.420000e-11,-2.517472e-07
8.440000e-11,-2.515876e-07
8.460000e-11,-2.514597e-07
8.480000e-11,-2.513740e-07
8.500000e-11,-2.513366e-07
8.520000e-11,-2.513489e-07
8.540000e-11,-2.514076e-07
8.560000e-11,-2.515056e-07
8.580000e-11,-2.516321e-07
8.600000e-11,-2.517746e-07
8.620000e-11,-2.519192e-07
8.640000e-11,-2.520525e-07
8.660000e-11,-2.521626e-07
8.680000e-11,-2.522399e-07
8.700000e-11,-2.522784e-07
8.720000e-11,-2.522755e-07
8.740000e-11,-2.522326e-07
8.760000e-11,-2.521548e-07
8.780000e-11,-2.520502e-07
8.800000e-11,-2.519294e-07
8.820000e-11,-2.518040e-07
8.840000e-11,-2.516860e-07
8.860000e-11,-2.515866e-07
8.880000e-11,-2.515147e-07
8.900000e-11,-2.514768e-07
8.920000e-11,-2.514758e-07
8.940000e-11,-2.515112e-07
8.960000e-11,-2.515790e-07
8.980000e-11,-2.516719e-07
9.000000e-11,-2.517806e-07
9.020000e-11,-2.518940e-07
9.040000e-11,-2.520011e-07
9.060000e-11,-2.520913e-07
9.080000e-11,-2.521560e-07
9.100000e-11,-2.521891e-07
9.120000e-11,-2.521879e-07
